Stadtbezirk,PLZ
Allach - Untermenzing,80999
Allach - Untermenzing,81247
Allach - Untermenzing,81249
Altstadt - Lehel,80331
Altstadt - Lehel,80333
Altstadt - Lehel,80539
Au-Haidhausen,81667
Au-Haidhausen,81669
Au-Haidhausen,81675
Au-Haidhausen,81677
Aubing - Lochhausen - Langwied,81243
Aubing - Lochhausen - Langwied,81245
Aubing - Lochhausen - Langwied,81248
Berg am Laim,81673
Berg am Laim,81735
Bogenhausen,81679
Bogenhausen,81925
Bogenhausen,81927
Bogenhausen,81929
Feldmoching - Hasenbergl,80933
Feldmoching - Hasenbergl,80935
Feldmoching - Hasenbergl,80995
Hadern,81375
Laim,80686
Laim,80687
Ludwigvorstadt - Isarvorstadt,80336
Ludwigvorstadt - Isarvorstadt,80337
Ludwigvorstadt - Isarvorstadt,80469
Maxvorstadt,80636
Maxvorstadt,80797
Maxvorstadt,80798
Maxvorstadt,80799
Maxvorstadt,80801
Maxvorstadt,80802
Milbertshofen - Am Hart,80807
Milbertshofen - Am Hart,80809
Milbertshofen - Am Hart,80937
Moosach,80637
Moosach,80638
Moosach,80992
Moosach,80993
Moosach,80997
Neuhausen - Nymphenburg,80634
Neuhausen - Nymphenburg,80639
Obergiesing - Fasangarten,81539
Obergiesing - Fasangarten,81541
Obergiesing - Fasangarten,81547
Obergiesing - Fasangarten,81549
Pasing - Obermenzing,80689
Pasing - Obermenzing,81241
Ramersdorf - Perlach,81671
Ramersdorf - Perlach,81737
Ramersdorf - Perlach,81739
Schwabing - Freimann,80538
Schwabing - Freimann,80803
Schwabing - Freimann,80804
Schwabing - Freimann,80805
Schwabing - Freimann,80939
Schwabing-West,80796
Schwanthalerhöhe,80335
Schwanthalerhöhe,80339
Sendling,81369
Sendling,81371
Sendling-Westpark,81373
Sendling-Westpark,81377
Sendling-Westpark,81379
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,81475
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,81476
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,81477
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,81479
Trudering - Riem,81825
Trudering - Riem,81827
Trudering - Riem,81829
Untergiesing - Harlaching,81543
Untergiesing - Harlaching,81545
Aubing - Lochhausen - Langwied,82148
